# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       5.338587174012e-10       1.503734583309e-13      -5.915371276864e-12       0.000000000000e+00       4.245325476805e-12       7.089476196565e-13      -4.728985597606e-15 
  139       5.384863648622e-10       1.504799287805e-13      -5.955874371005e-12       0.000000000000e+00       4.159926381994e-12       6.982394326171e-13      -4.666366598670e-15 
  140       5.431043857662e-10       1.505200633824e-13      -5.993761906622e-12       0.000000000000e+00       4.076819558593e-12       6.877645283284e-13      -4.604014231228e-15 
  141       5.477112957695e-10       1.504939519811e-13      -6.028974531204e-12       0.000000000000e+00       3.995876534321e-12       6.775043539346e-13      -4.541721886458e-15 
  142       5.523055365884e-10       1.504017665657e-13      -6.061453837168e-12       0.000000000000e+00       3.916953033979e-12       6.674382791712e-13      -4.479267057251e-15 
  143       5.568854744377e-10       1.502437629553e-13      -6.091142399162e-12       0.000000000000e+00       3.839888636186e-12       6.575435516236e-13      -4.416411020344e-15 
  144       5.614495291987e-10       1.500202955436e-13      -6.117984306255e-12       0.000000000000e+00       3.764540410333e-12       6.478002697196e-13      -4.352951689054e-15 
  145       5.659965795664e-10       1.497318596111e-13      -6.141926738915e-12       0.000000000000e+00       3.690888289571e-12       6.382069487199e-13      -4.288888715085e-15 
  146       5.705255950635e-10       1.493790564078e-13      -6.162918619133e-12       0.000000000000e+00       3.618939482015e-12       6.287664114176e-13      -4.224274135067e-15 
  147       5.750355080963e-10       1.489625822143e-13      -6.180910169279e-12       0.000000000000e+00       3.548695276673e-12       6.194808924377e-13      -4.159160649341e-15 
  148       5.795252131463e-10       1.484832301017e-13      -6.195852952246e-12       0.000000000000e+00       3.480150895470e-12       6.103520223332e-13      -4.093601609665e-15 
  149       5.839935659597e-10       1.479418916930e-13      -6.207699911597e-12       0.000000000000e+00       3.413295345263e-12       6.013808116798e-13      -4.027651006925e-15 
  150       5.884393827389e-10       1.473395589231e-13      -6.216405411710e-12       0.000000000000e+00       3.348111269869e-12       5.925676351722e-13      -3.961363458844e-15 
  151       5.928614393328e-10       1.466773257999e-13      -6.221925277919e-12       0.000000000000e+00       3.284574802086e-12       5.839122157186e-13      -3.894794197686e-15 
  152       5.972584704274e-10       1.459563901645e-13      -6.224216836667e-12       0.000000000000e+00       3.222655415710e-12       5.754136085372e-13      -3.827999057966e-15 
  153       6.016291687366e-10       1.451780554521e-13      -6.223238955640e-12       0.000000000000e+00       3.162315777559e-12       5.670701852509e-13      -3.761034464162e-15 
  154       6.059721841927e-10       1.443437324523e-13      -6.218952083924e-12       0.000000000000e+00       3.103511599498e-12       5.588796179828e-13      -3.693957418419e-15 
  155       6.102861231371e-10       1.434549410701e-13      -6.211318292138e-12       0.000000000000e+00       3.046191490453e-12       5.508388634521e-13      -3.626825488258e-15 
  156       6.145695475109e-10       1.425133120861e-13      -6.200301312591e-12       0.000000000000e+00       2.990296808440e-12       5.429441470694e-13      -3.559696794286e-15 
  157       6.188209740454e-10       1.415205889176e-13      -6.185866579417e-12       0.000000000000e+00       2.935761512582e-12       5.351909470318e-13      -3.492629997903e-15 
  158       6.230388734532e-10       1.404786293785e-13      -6.167981268725e-12       0.000000000000e+00       2.882512015132e-12       5.275739784188e-13      -3.425684289011e-15 
  159       6.272216696183e-10       1.393894074408e-13      -6.146614338743e-12       0.000000000000e+00       2.830467033495e-12       5.200871772877e-13      -3.358919373721e-15 
  160       6.313677387869e-10       1.382550149944e-13      -6.121736569963e-12       0.000000000000e+00       2.779537442248e-12       5.127236847687e-13      -3.292395462063e-15 
  161       6.354755215567e-10       1.370776162848e-13      -6.093320491030e-12       0.000000000000e+00       2.729644534936e-12       5.054775318189e-13      -3.226168486824e-15 
  162       6.395438716718e-10       1.358593030012e-13      -6.061340064757e-12       0.000000000000e+00       2.680776934956e-12       4.983488943011e-13      -3.160275310721e-15 
